2025-07-01 21:01:25.787141 | BTCUSDm | SELL | Entry: 105958.16 | TP: 105838.16 | SL: None | Lot: 0.01
2025-07-01 21:01:26.551506 | BTCUSDm | SELL | Entry: 105937.1 | TP: 105838.16 | SL: None | Lot: 0.01
2025-07-01 21:01:29.023463 | BTCUSDm | BUY | Entry: 105997.1 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 21:15:00.389985 | BTCUSDm | BUY | Entry: 105995.87 | TP: 106115.87 | SL: None | Lot: 0.01
2025-07-01 21:15:00.694993 | BTCUSDm | BUY | Entry: 106023.12 | TP: 106115.87 | SL: None | Lot: 0.01
2025-07-01 21:15:03.015529 | BTCUSDm | SELL | Entry: 105963.12 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 21:26:00.248262 | BTCUSDm | SELL | Entry: 106160.73 | TP: 106040.73 | SL: None | Lot: 0.01
2025-07-01 21:26:00.583275 | BTCUSDm | SELL | Entry: 106162.75 | TP: 106040.73 | SL: None | Lot: 0.01
2025-07-01 21:26:00.891274 | BTCUSDm | BUY | Entry: 106222.75 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 21:27:31.130688 | BTCUSDm | SELL | Entry: 106121.38 | TP: 106001.38 | SL: None | Lot: 0.01
2025-07-01 21:27:31.450815 | BTCUSDm | SELL | Entry: 106015.9 | TP: 106001.38 | SL: None | Lot: 0.01
2025-07-01 21:27:31.847199 | BTCUSDm | BUY | Entry: 106075.9 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-01 21:27:43.195687 | BTCUSDm | SELL | Entry: 106015.9 | TP: 0.0 | SL: None | Lot: 0.07
2025-07-01 21:36:55.004896 | BTCUSDm | BUY | Entry: 106023.23 | TP: 106143.23 | SL: None | Lot: 0.01
2025-07-02 08:37:57.231242 | BTCUSDm | BUY | Entry: 107755.47 | TP: 107875.47 | SL: None | Lot: 0.01
2025-07-02 08:37:57.554263 | BTCUSDm | BUY | Entry: 107807.5 | TP: 107875.47 | SL: None | Lot: 0.01
2025-07-02 08:37:58.871196 | BTCUSDm | SELL | Entry: 107747.5 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-02 08:44:32.846249 | BTCUSDm | BUY | Entry: 107807.5 | TP: 0.0 | SL: None | Lot: 0.07
2025-07-02 08:46:32.462719 | BTCUSDm | SELL | Entry: 107747.5 | TP: 0.0 | SL: None | Lot: 0.16
2025-07-02 08:47:01.826465 | BTCUSDm | BUY | Entry: 107807.5 | TP: 0.0 | SL: None | Lot: 0.36
2025-07-02 08:48:00.673927 | BTCUSDm | SELL | Entry: 107608.96 | TP: 107488.96 | SL: None | Lot: 0.01
2025-07-02 08:48:00.985929 | BTCUSDm | SELL | Entry: 107608.53 | TP: 107488.96 | SL: None | Lot: 0.01
2025-07-02 08:48:02.298936 | BTCUSDm | BUY | Entry: 107668.53 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-02 08:50:31.706799 | BTCUSDm | SELL | Entry: 107608.53 | TP: 0.0 | SL: None | Lot: 0.07
2025-07-02 09:09:06.252084 | BTCUSDm | BUY | Entry: 107785.19 | TP: 107905.19 | SL: None | Lot: 0.01
2025-07-02 09:09:06.594127 | BTCUSDm | BUY | Entry: 107808.98 | TP: 107905.19 | SL: None | Lot: 0.01
2025-07-02 09:09:07.905067 | BTCUSDm | SELL | Entry: 107748.98 | TP: 0.0 | SL: None | Lot: 0.03
2025-07-02 09:10:08.273736 | BTCUSDm | BUY | Entry: 107808.98 | TP: 0.0 | SL: None | Lot: 0.07
2025-07-02 09:12:07.678655 | BTCUSDm | SELL | Entry: 107748.98 | TP: 0.0 | SL: None | Lot: 0.16
2025-07-02 09:12:20.075808 | BTCUSDm | BUY | Entry: 107808.98 | TP: 0.0 | SL: None | Lot: 0.36
2025-07-02 09:22:00.994431 | BTCUSDm | BUY | Entry: 107784.25 | TP: 107904.25 | SL: None | Lot: 0.01
2025-07-02 09:22:01.335423 | BTCUSDm | BUY | Entry: 107813.25 | TP: 107904.25 | SL: None | Lot: 0.01
2025-07-02 09:22:02.650302 | BTCUSDm | SELL | Entry: 107753.25 | TP: 0.0 | SL: None | Lot: 0.03
